Load More,Xem thêm
Delete {0} items permanently?,Xác nhận xóa {0} bản ghi?
{0} d,{0} ngày trước
{0} h,{0} giờ trước
{0} m,{0} phút trước
Permanently delete {0}?,Xác nhận xóa {0}?
Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},Không thể xóa hay hủy bỏ bởi vì {0} {1} đã liên kết với {2} {3} {4}
Cancelled,Đã hủy bỏ
Permanently Cancel {0}?,Xác nhận hủy bỏ {0}?
Default,Mặc định
Create,Tạo mới
Cancel,Hủy bỏ
New Version,Phiên bản mới
Submit this document to confirm,Xác nhận để chứng từ có hiệu lực
Please select a BOM,Vui lòng chọn CTSX
New BOM,CTSX mới
View List,Xem danh sách
Open Item {0},Mở mặt hàng {0}
Open BOM {0},Mở CTSX {0}
Browse BOM,Duyệt cây CTSX
Update Cost,Cập nhật giá
Permanently Submit {0}?,Xác nhận duyệt {0}?
Include Item In Manufacturing,Bao gồm mặt hàng trong sản xuất
Is Fixed Asset,Là tài sản cố định
Item UOM,Đơn vị mặt hàng
Maintain Stock,Hàng tồn kho
"Mandatory fields required in table {0}, Row {1}","Bạn điền thiếu trường bắt buộc trong bảng {0}, tại dòng {1}"
BOM Operation,Công đoạn theo CTSX
Assign to me,Phân công bản thân
Add to ToDo,Thêm vào Việc cần làm
Can Submit,Có thể xác nhận
Can Share,Có thể chia sẻ
Can Write,Có thể viết
Can Read,Có thể sửa
Share this document with,Chia sẻ tài liệu này với
Everyone,Mọi người
User,Người dùng
Share {0} with,Chia sẻ {0} với
Follow,Theo dõi
{0} day ago,{0} ngày trước
{0} hour ago,{0} hour ago
{0} minutes ago,{0} phút trước
just now,mới đây
No changes in document,Không phát hiện thay đổi tài liệu
Page,Trang
The resource you are looking for is not available,Tài nguyên bạn tìm kiếm hiện đang không có sẵn
{0} {1} not found,Vai trò của bạn hiện bị khóa truy cập {0} {1}
Not found,Không tìm thấy
Print Settings,Cài đặt In
Refresh,Làm mới
Full Page,Xem đầy đủ
Try the new Print Designer,Thử trình in mới
Language,Ngôn ngữ
Off,Tắt
Mandatory fields required in {0},Các trường bắt buộc cần điền trong {0}
Missing Fields,Bạn chưa nhập đủ các trường
UOM Name,Tên đơn vị
{0} Name,Tên {0}
Leaderboard,Bảng xếp hạng
User Settings,Chỉnh sửa tài khoản cá nhân
Edit Profile,Sửa thông tin cá nhân
No activities to show,Chưa có hoạt động nào
Recent Activity,Hoạt động gần đây
Auto,Tự động
All,Tất cả
Last Year,Năm trước
Last Quarter,Quý trước
Last Month,Tháng trước
Last Week,Tuần trước
Monthly,Theo tháng
Weekly,Theo tuần
Daily,Theo ngày
Change User,Đổi người dùng
Overview,Tổng quan
Monthly Rank,Xếp hạng hàng tháng
Rank,Xếp hạng
Review Points,Điểm đánh giá
Energy Points,Điểm năng lượng
Stock Entry Type,Loại phiếu xuất nhập kho
Hide Tags,Ẩn các nhãn
No filters found,Không tìm thấy bộ lọc
Stock Entry,Phiếu nhập xuất kho
